station_id,station_name,station_lat,station_long,total_rides
72,W 52 St & 11 Ave,40.76727216,-73.99392888,15130
79,Franklin St & W Broadway,40.71911552,-74.00666661,15592
82,St James Pl & Pearl St,40.71117416,-74.00016545,6201
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,8272
116,W 17 St & 8 Ave,40.74177603,-74.00149746,24248
119,Park Ave & St Edwards St,40.69608941,-73.97803415,1074
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,2735
127,Barrow St & Hudson St,40.73172428,-74.00674436,23873
128,MacDougal St & Prince St,40.72710258,-74.00297088,26070
143,Clinton St & Joralemon St,40.69239502,-73.99337909,4653
144,Nassau St & Navy St,40.69839895,-73.98068914,2244
146,Hudson St & Reade St,40.71625008,-74.0091059,11767
150,E 2 St & Avenue C,40.7208736,-73.98085795,9188
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,33859
152,Warren St & Church St,40.71473993,-74.00910627,13696
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,18945
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,7991
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20941
164,E 47 St & 2 Ave,40.75323098,-73.97032517,11999
167,E 39 St & 3 Ave,40.7489006,-73.97604882,17329
168,W 18 St & 6 Ave,40.73971301,-73.99456405,26088
173,Broadway & W 49 St,40.76064679,-73.98442659,19059
174,E 25 St & 1 Ave,40.7381765,-73.97738662,12465
195,Liberty St & Broadway,40.70905623,-74.01043382,17156
212,W 16 St & The High Line,40.74334935,-74.00681753,15877
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,3483
217,Old Fulton St,40.70277159,-73.99383605,7958
223,W 13 St & 7 Ave,40.73781509,-73.99994661,16382
224,Spruce St & Nassau St,40.71146364,-74.00552427,11290
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,10987
229,Great Jones St,40.72743423,-73.99379025,21126
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,5200
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19737
237,E 11 St & 2 Ave,40.73047309,-73.98672378,22066
238,Bank St & Washington St,40.7361967,-74.00859207,13530
239,Willoughby St & Fleet St,40.69196566,-73.9813018,4729
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,3654
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,3597
243,Fulton St & Rockwell Pl,40.687979,-73.978474,9787
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,4355
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,1917
247,Perry St & Bleecker St,40.73535398,-74.00483091,12504
248,Laight St & Hudson St,40.72185379,-74.00771779,4411
249,Harrison St & Hudson St,40.71870987,-74.0090009,8305
251,Mott St & Prince St,40.72317958,-73.99480012,21540
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,13613
253,W 13 St & 5 Ave,40.73543934,-73.99453948,16641
254,W 11 St & 6 Ave,40.73532427,-73.99800419,15466
257,Lispenard St & Broadway,40.71939226,-74.00247214,12326
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,4158
259,South St & Whitehall St,40.70122128,-74.01234218,9619
260,Broad St & Bridge St,40.70365182,-74.01167797,6184
261,Johnson St & Gold St,40.69474881,-73.98362464,4555
262,Washington Park,40.69178232,-73.97372989,3661
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,13762
265,Stanton St & Chrystie St,40.72229346,-73.99147535,13563
266,Avenue D & E 8 St,40.72368361,-73.97574813,4459
267,Broadway & W 36 St,40.75097711,-73.98765428,10022
268,Howard St & Centre St,40.71910537,-73.99973337,17129
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,5549
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,5081
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,2403
276,Duane St & Greenwich St,40.71748752,-74.0104554,10060
278,Concord St & Bridge St,40.69766564,-73.98476437,2442
279,Sands St & Gold St,40.69986937,-73.98271933,2164
280,E 10 St & 5 Ave,40.73331967,-73.99510132,14595
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,24059
282,Kent Ave & S 11 St,40.70827295,-73.96834101,3223
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,28955
285,Broadway & E 14 St,40.73454567,-73.99074142,38190
289,Monroe St & Classon Ave,40.6845683,-73.95881081,1513
291,Madison St & Montgomery St,40.713126,-73.984844,7054
293,Lafayette St & E 8 St,40.73028666,-73.9907647,43005
295,Pike St & E Broadway,40.71406667,-73.99293911,7620
296,Division St & Bowery,40.71413089,-73.9970468,11225
