station_id,station_name,station_lat,station_long,total_rides
72,W 52 St & 11 Ave,40.76727216,-73.99392888,21361
79,Franklin St & W Broadway,40.71911552,-74.00666661,17365
82,St James Pl & Pearl St,40.71117416,-74.00016545,8998
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,9271
116,W 17 St & 8 Ave,40.74177603,-74.00149746,38403
119,Park Ave & St Edwards St,40.69608941,-73.97803415,1741
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,3541
127,Barrow St & Hudson St,40.73172428,-74.00674436,35710
128,MacDougal St & Prince St,40.72710258,-74.00297088,36831
143,Clinton St & Joralemon St,40.69239502,-73.99337909,7707
144,Nassau St & Navy St,40.69839895,-73.98068914,3688
146,Hudson St & Reade St,40.71625008,-74.0091059,17107
150,E 2 St & Avenue C,40.7208736,-73.98085795,16170
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,54733
152,Warren St & Church St,40.71473993,-74.00910627,14191
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,30431
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,9832
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,33594
164,E 47 St & 2 Ave,40.75323098,-73.97032517,16289
167,E 39 St & 3 Ave,40.7489006,-73.97604882,29976
168,W 18 St & 6 Ave,40.73971301,-73.99456405,45657
173,Broadway & W 49 St,40.76064679,-73.98442659,28987
174,E 25 St & 1 Ave,40.7381765,-73.97738662,21726
195,Liberty St & Broadway,40.70905623,-74.01043382,25699
212,W 16 St & The High Line,40.74334935,-74.00681753,29006
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,5203
217,Old Fulton St,40.70277159,-73.99383605,12612
223,W 13 St & 7 Ave,40.73781509,-73.99994661,26444
224,Spruce St & Nassau St,40.71146364,-74.00552427,16168
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,18713
229,Great Jones St,40.72743423,-73.99379025,37847
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,7691
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,35983
237,E 11 St & 2 Ave,40.73047309,-73.98672378,35996
238,Bank St & Washington St,40.7361967,-74.00859207,18896
239,Willoughby St & Fleet St,40.69196566,-73.9813018,7735
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,6215
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,5320
243,Fulton St & Rockwell Pl,40.687979,-73.978474,1941
243,Fulton St & Rockwell Pl,40.688226,-73.979382,4304
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,6760
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,3142
247,Perry St & Bleecker St,40.73535398,-74.00483091,19733
248,Laight St & Hudson St,40.72185379,-74.00771779,6388
249,Harrison St & Hudson St,40.71870987,-74.0090009,11298
251,Mott St & Prince St,40.72317958,-73.99480012,35609
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,21670
253,W 13 St & 5 Ave,40.73543934,-73.99453948,924
254,W 11 St & 6 Ave,40.73532427,-73.99800419,10841
257,Lispenard St & Broadway,40.71939226,-74.00247214,19921
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,7124
259,South St & Whitehall St,40.70122128,-74.01234218,16251
